epoch,mse,accuracy,theta1,theta2,theta3,theta4,sens_V5,sens_V4,sens_V3,sens_V2
1,1.4315821207061503,0.6,1.549999702824268,1.4500034154262185,1.5499999977374965,1.450000025902454,-0.0025750837583153772,0.00022163891959362203,-0.34760181067474877,0.02991828499479144
2,1.42703476063307,,1.5999916420030897,1.4001513857188115,1.6000064673291345,1.4001249210927926,-0.002564455556291076,0.0002132206584688782,-0.3468891163682086,0.028842010164639557
3,1.2086288368840066,,1.6500577441702828,1.3501104284719598,1.6500551386406872,1.3500798233411708,-0.0025432699127141646,0.0002037719395396408,-0.3462773173011203,0.02774418610848441
4,1.2283973033472975,,1.69,1.2998995741634527,1.69,1.2998914806171404,-0.002512631494397842,0.00019348466323823197,-0.3457585820328252,0.026625826749375785
5,1.2256993006983883,,1.69,1.24950421868715,1.69,1.2494993644941996,-0.0025257601609186852,0.00018964810824190285,-0.3449467262400615,0.02590068516103948
6,1.2229754440726273,,1.69,1.1988505324490895,1.69,1.198922634511863,-0.002749202259479592,0.00021517032729091246,-0.34263170205091475,0.02681667230961075
7,1.2709793186882217,,1.69,1.1481241924066443,1.69,1.14805368286862,-0.0029786460140178938,0.00024286165898855196,-0.34031952582824937,0.0277461595474848
8,1.5291340904745818,,1.69,1.0972313032450323,1.69,1.096840547619833,-0.00321382134715615,0.00027187172650165286,-0.33800591416972214,0.028594645120119177
9,1.5280562523581884,,1.69,1.0459639640589224,1.69,1.0452290800008541,-0.0034537859181236856,0.00030143085627728036,-0.33570159378647,0.029305022327988994
10,1.5269869113681018,0.6,1.69,0.9942274439072316,1.69,0.9932405339715586,-0.0036994208431819914,0.00033281393456295307,-0.33340681842260733,0.030006583158240955
11,1.5259270504655265,,1.69,0.9419769757347012,1.69,0.9409148010990889,-0.003950413681424399,0.0003660652333109675,-0.33112210649803464,0.030699369159347244
12,2.0447117466068385,,1.69,0.8892855417543118,1.69,0.8880939114113973,-0.00420636563987631,0.0004012117901004128,-0.3288487711651697,0.0313831561766073
13,2.5640326640781885,,1.69,0.8362011161951189,1.69,0.8347263258672319,-0.004468063927667279,0.0004383707568734835,-0.3265797748605403,0.03206006137888341
14,2.8237083397558975,,1.69,0.782628036666382,1.69,0.7807979508963351,-0.0047357378018936195,0.00047761423430415985,-0.32431285781395514,0.032730736769068666
15,3.083632505036688,,1.69,0.7284988690398371,1.69,0.7262976913618061,-0.005009316365093528,0.0005190192432920067,-0.32204734822465003,0.03339539410157713
16,3.083413825479033,,1.69,0.6737132931509534,1.69,0.671268547072013,-0.005288725332106713,0.0005626595100100837,-0.3197827450146078,0.034054153880564264
17,3.343685836561287,,1.69,0.6182619239299685,1.69,0.6156890734220655,-0.005573531599436856,0.0006085807696473253,-0.3175207346341709,0.03470652016442825
18,3.3435865253041683,,1.69,0.5621059941220455,1.69,0.5596281373993204,-0.0058637437016579716,0.0006568534377981558,-0.31526041905889995,0.03535264909057901
19,3.3434924366497065,,1.69,0.50524452350909,1.69,0.5031632503341452,-0.0061587897783007784,0.0007074892159617361,-0.3130044911731752,0.03599170471106104
20,3.604166666665388,0.3333333333333333,1.69,0.4476656876358562,1.69,0.4462367164520341,-0.006458049957468718,0.0007604769178025496,-0.31075589597508796,0.0366227671937091
