epoch,mse,accuracy,theta1,theta2,theta3,theta4,sens_V5,sens_V4,sens_V3,sens_V2
1,0.7610092104291215,0.6333333333333333,1.5498637433452254,1.4500005820001958,1.5005420414452626,1.469886334761216,3.887418874806381e-06,-0.0009776221958015822,2.445406625299475e-10,-2.5835878306024393e-08
2,0.7570408911875953,,1.5997248443405239,1.4000198124904757,1.5010832978761555,1.439811412317155,3.9131892728045374e-06,-0.0009751719804534,2.45687654689968e-10,-2.5911596425210057e-08
3,0.753130649213822,,1.649581658946281,1.3500743257355508,1.5016236602937838,1.4097795843322403,3.939093479630286e-06,-0.000972725618224221,2.4683720446285994e-10,-2.5987327392873533e-08
4,0.7492866123373195,,1.69,1.3001799232524156,1.502163091259525,1.3797939137579844,3.965127767218512e-06,-0.0009702838152514457,2.479890561822528e-10,-2.6063052604368434e-08
5,0.745630584377297,,1.69,1.2503499822482012,1.50270158681912,1.3498562120720077,3.988885930983202e-06,-0.00096789762351749,2.490769046818644e-10,-2.613191890127086e-08
6,0.7425454851830057,,1.69,1.2006047626329268,1.5032392032673985,1.319965153336089,4.0023899886420735e-06,-0.0009657339937023671,2.498814413218931e-10,-2.6171315295135317e-08
7,0.7395397205405413,,1.69,1.1509693570332789,1.5037759633351868,1.290120960341507,4.015874154740288e-06,-0.0009635784595508534,2.50684024038836e-10,-2.6210401140329636e-08
8,0.7366133692731459,,1.69,1.1014667675171863,1.5043118250632306,1.2603257209666188,4.0293330154798e-06,-0.000961432049070408,2.5148430454508705e-10,-2.6249145960738417e-08
9,0.7337663061619463,,1.69,1.0521187825139333,1.5048467238986787,1.2305822852012223,4.04276142147261e-06,-0.0009592956967596577,2.52281956631402e-10,-2.6287523852449422e-08
10,0.7309986005185228,0.6,1.69,1.0029463745789338,1.5053806076547633,1.2008933370495112,4.0561544100011975e-06,-0.0009571702795316463,2.530766687086358e-10,-2.6325511418983077e-08
11,0.7283101769740556,,1.69,0.9539698973660862,1.5059134323977712,1.1712614259648766,4.069507212821208e-06,-0.0009550566323920286,2.5386814219911116e-10,-2.6363086464120007e-08
12,0.7257007744144547,,1.69,0.9052091801271832,1.5064451600692481,1.1416889831683648,4.082815211262771e-06,-0.0009529555571828569,2.546560886782957e-10,-2.640022775257005e-08
13,0.72317003997029,,1.69,0.85668357445615,1.5069757570414708,1.1121783300080472,4.096073914573259e-06,-0.0009508678269230391,2.5544022848935835e-10,-2.6436914890909382e-08
14,0.7207175227940125,,1.69,0.8084119715442051,1.5075051932043917,1.0827316819624893,4.10927894916898e-06,-0.0009487941880994313,2.562202900466032e-10,-2.6473128263598393e-08
15,0.7183426662671857,,1.69,0.7604128007779688,1.508033441368998,1.0533511502568456,4.1224260545601475e-06,-0.0009467353617027076,2.569960095600436e-10,-2.6508849003115302e-08
16,0.7160448124945114,,1.69,0.7127040177701276,1.5085604768670107,1.0240387421876578,4.135511083440815e-06,-0.0009446920434783969,2.5776713102271403e-10,-2.6544058981642104e-08
17,0.7138232117099651,,1.69,0.6653030866224615,1.5090862772749718,0.9947963607617563,4.148530004124368e-06,-0.0009426649037401372,2.585334063449365e-10,-2.657874081473993e-08
18,0.7116770198995308,,1.69,0.6182269594721549,1.5096108222338416,0.9656258040740215,4.161478904243289e-06,-0.0009406545869501821,2.5929459556695216e-10,-2.6612877871317854e-08
19,0.7096053168380221,,1.69,0.5714920551312365,1.5101340933142855,0.9365287646294495,4.174353995023903e-06,-0.0009386617111963243,2.600504671063465e-10,-2.6646454286364563e-08
20,0.7076070940620759,0.5,1.69,0.5251142382126389,1.5106560738983663,0.9075068288182802,4.187151615866432e-06,-0.0009366868676366621,2.608007980186343e-10,-2.667945497474061e-08
21,0.7056812798330275,,1.69,0.4791087994091137,1.5111767490884482,0.878561476567836,4.199868239777699e-06,-0.0009347306199438225,2.6154537427636153e-10,-2.6711865647022357e-08
22,0.7038267243235392,,1.69,0.43349043865288855,1.5116961014385142,0.8496942192069806,4.210750357644083e-06,-0.0009327908560460512,2.6217502291958806e-10,-2.6732561938094896e-08
23,0.7020422251782147,,1.69,0.38827325375477373,1.512214093371352,0.8209071841624881,4.212112853293523e-06,-0.0009308565433095161,2.6221139950972447e-10,-2.669291024415603e-08
24,0.7003265226398756,,1.69,0.3434707207649815,1.5127306925138702,0.7922022735418429,4.213469563780546e-06,-0.0009289426535067039,2.622469846727682e-10,-2.665342461352184e-08
25,0.6986783027926872,,1.69,0.29909568306569856,1.5132458710869687,0.7635811828286313,4.214820430641998e-06,-0.0009270496943447219,2.622817844139274e-10,-2.6614108701008332e-08
26,0.697096209054733,,1.69,0.2551603429292716,1.513759605404404,0.7350454165544362,4.216165405394106e-06,-0.0009251781380838293,2.623158053762963e-10,-2.6574965830038422e-08
27,0.6955788348821418,,1.69,0.21167625562039055,1.5142718754546378,0.7065963017001113,4.21750444877499e-06,-0.0009233284214051608,2.623490548015214e-10,-2.653599901256369e-08
28,0.6941247379420801,,1.69,0.16865432591767932,1.514782664548172,0.6782349993443126,4.2188375300137445e-06,-0.0009215009455814709,2.623815404873049e-10,-2.649721096581156e-08
29,0.6927324447982743,,1.69,0.126104806976034,1.5152919590166314,0.6499625149471016,4.220164626174128e-06,-0.000919696072799367,2.6241327075615575e-10,-2.6458604126483868e-08
30,0.6914004486817593,0.5,1.69,0.1,1.5157997422908547,0.6217799820974831,4.2214857216250285e-06,-0.0009179141358829341,2.624442544006832e-10,-2.6420180664702824e-08
31,0.690584603700378,,1.69,0.1,1.5163060575983172,0.5936853028977304,4.222812019873774e-06,-0.0009168028183911015,2.6247007800611455e-10,-2.638363524190414e-08
32,0.6905305004272605,,1.69,0.1,1.5168110500417258,0.5656709061306545,4.224150592348194e-06,-0.0009167514617086981,2.624882723907455e-10,-2.6349987942196987e-08
33,0.6904765889144664,,1.69,0.1,1.5173148476400262,0.5377303753314092,4.2254835303445415e-06,-0.0009167002863440256,2.625061665358216e-10,-2.6316461219619844e-08
34,0.6904228564520231,,1.69,0.1,1.5178175638699791,0.5098581023037196,4.2268111564743505e-06,-0.0009166492802606916,2.6252376755761305e-10,-2.628304730335759e-08
35,0.6903692919809848,,1.69,0.1,1.5183192995608903,0.4820491319395254,4.228133753771433e-06,-0.0009165984330911828,2.625410818174493e-10,-2.6249739407622946e-08
36,0.6903158857672526,,1.69,0.1,1.5188201444180565,0.45429908342194875,4.229451572301858e-06,-0.0009165477359708619,2.6255811506587956e-10,-2.6216531544977026e-08
37,0.6902626290732681,,1.69,0.1,1.5193201783409411,0.4266040818392752,4.2307648335566675e-06,-0.0009164971806810716,2.625748725174512e-10,-2.6183418428798503e-08
38,0.6902095141357664,,1.69,0.1,1.5198194725678378,0.398960698647523,4.232073733956178e-06,-0.0009164467599290439,2.625913589165484e-10,-2.6150395389279818e-08
39,0.6901565341207461,,1.69,0.1,1.5203180906730556,0.3713658996925448,4.233378447828444e-06,-0.000916396467253889,2.626075785961099e-10,-2.6117458300356806e-08
40,0.6901036830211733,0.5,1.69,0.1,1.5208160894382272,0.34381699970296375,4.234679130006745e-06,-0.0009163462969292906,2.6262353552855295e-10,-2.6084603515943975e-08
41,0.6900509555376078,,1.69,0.1,1.5213135196157008,0.3163116223432425,4.235975918101735e-06,-0.0009162962438782325,2.6263923337001123e-10,-2.605182781413059e-08
42,0.6899983469074553,,1.69,0.1,1.5218104265989743,0.28884766508485293,4.237268934493384e-06,-0.000916246303598335,2.6265467549884875e-10,-2.6019128348218624e-08
43,0.6899458528236289,,1.69,0.1,1.5223068510128719,0.26142326826007334,4.2385582880812015e-06,-0.000916196472096074,2.6266986504922935e-10,-2.5986502603690135e-08
44,0.6898934696334946,,1.69,0.1,1.5228028292342546,0.23403678773569897,4.239844075824024e-06,-0.0009161467458290224,2.626848049404398e-10,-2.595394836031373e-08
45,0.6898411942095763,,1.69,0.1,1.5232983938521918,0.20668677074613037,4.2411263840980855e-06,-0.0009160971216547141,2.626994979025293e-10,-2.5921463658708605e-08
46,0.6897890236175152,,1.69,0.1,1.5237935740752395,0.17937193449631522,4.2424052898966024e-06,-0.0009160475967856165,2.627139464987698e-10,-2.588904677078465e-08
47,0.6897369552188077,,1.69,0.1,1.5242883960925246,0.15209114720482306,4.2436808620232535e-06,-0.0009159981687422433,2.6272815314354034e-10,-2.5856696173404688e-08
48,0.689684986659026,,1.69,0.1,1.5247828833943071,0.12484341128326966,4.24495316238347e-06,-0.0009159488356083194,2.6274212011387025e-10,-2.5824410524798908e-08
49,0.6896331158380572,,1.69,0.1,1.5252770570569665,0.1,4.2462222457868456e-06,-0.0009158995956656586,2.6275584957966486e-10,-2.5792188645400768e-08
50,0.6895858364435877,0.5,1.69,0.1,1.5257709368450627,0.1,4.247378621009549e-06,-0.0009158547075281876,2.6276826967260756e-10,-2.57628061194022e-08
51,0.689585653806162,,1.69,0.1,1.5262645493742855,0.1,4.247387020367836e-06,-0.0009158544531130931,2.627693415118024e-10,-2.5762514516896593e-08
52,0.6895854712744324,,1.69,0.1,1.5267579185107683,0.1,4.247395415212078e-06,-0.0009158541988342538,2.627704122393649e-10,-2.576222306848022e-08
53,0.6895852888395656,,1.69,0.1,1.5272510655902816,0.1,4.2474038059479894e-06,-0.0009158539446793697,2.6277148190782093e-10,-2.5761931760069064e-08
54,0.6895851064938012,,1.69,0.1,1.5277440097778114,0.1,4.247412192938516e-06,-0.0009158536906374585,2.6277255056411076e-10,-2.5761640579069476e-08
55,0.6895849242301004,,1.69,0.1,1.5282367682909905,0.1,4.247420576509468e-06,-0.0009158534366986524,2.6277361825038237e-10,-2.576134951417192e-08
56,0.6895847420420904,,1.69,0.1,1.5287293565999946,0.1,4.24742895695368e-06,-0.0009158531828540758,2.627746850044886e-10,-2.576105855521314e-08
57,0.6895845599240419,,1.69,0.1,1.5292217886064863,0.1,4.2474373345341495e-06,-0.0009158529290957661,2.627757508604231e-10,-2.5760767693064734e-08
58,0.6895843778708048,,1.69,0.1,1.5297140768038848,0.1,4.247445709487298e-06,-0.0009158526754165674,2.627768158487285e-10,-2.57604769195199e-08
59,0.6895841958777564,,1.69,0.1,1.5302062324209802,0.1,4.247454082025584e-06,-0.0009158524218100261,2.6277787999683713e-10,-2.5760186227206728e-08
